attempt,stop_addr,stop_fn,delay,target,bitflip,code,seed
75,0x08012afe,crc32buf_ret_dup,0.35,0x2000a291,2,0,3735928559
76,0x08011386,Multiply_dup,0.686,0x2000a957,2,0,3735928559
77,0x0800314a,prvIdleTask,0.752,0x2000d7d3,4,0,3735928559
78,0x0801db34,vPortExitCritical,0.383,0x2000a0bf,64,0,3735928559
79,0x0800bf32,prvCopyDataToQueue_ret_dup,0.377,0x2000c21c,1,0,3735928559
80,0x08004da2,xTaskGetSchedulerState_ret_dup,0.704,0x20006d6f,2,0,3735928559
81,0x0800aec6,xQueueGenericSend_ret_dup,0.959,0x200074f0,4,0,3735928559
82,0x08011354,Multiply_dup,0.794,0x200017f3,32,1,3735928559
83,0x0801f428,Reset_Handler,0.0,0x20003572,16,0,3735928559
84,0x0800ebfa,xQueueGenericReset_ret_dup,0.863,0x2000ac6c,16,0,3735928559
85,0x0801f426,Reset_Handler,0.007,0x20004a83,4,0,3735928559
86,0x0800309e,prvIdleTask,0.937,0x200043d7,32,0,3735928559
87,0x080030e6,prvIdleTask,0.389,0x200094a9,2,0,3735928559
88,0x08012b70,crc32buf_ret_dup,0.855,0x20007e88,128,0,3735928559
89,0x0800d240,prvCheckTasksWaitingTermination_dup,0.215,0x20008a95,64,0,3735928559
90,0x0801160e,RandomInteger_ret_dup,0.573,0x200071a5,4,0,3735928559
91,0x08006732,xTaskResumeAll_ret_dup,0.275,0x2000c28d,16,0,3735928559
92,memset,"<ucHeap+3040>,",0.061,0x200098dc,4,0,3735928559
93,0x080030fc,prvIdleTask,0.512,0x20005a8f,32,0,3735928559
94,0x0801da96,vPortEnterCritical,0.514,0x20008dca,32,0,3735928559
95,0x080113be,Multiply_dup,0.363,0x20004b66,4,0,3735928559
96,0x080001ea,pvPortMalloc,0.359,0x2000c3cd,128,0,3735928559
97,0x08012ae6,crc32buf_ret_dup,0.488,0x2000d4c5,2,0,3735928559
98,0x0801f43e,Reset_Handler,0.028,0x200082c5,4,0,3735928559
99,0x0800a504,xQueueGenericSend_ret_dup,0.359,0x2000503c,64,0,3735928559
100,0x0800d094,prvCheckTasksWaitingTermination_dup,0.561,0x2000134a,2,1,3735928559
101,0x080001b6,memset,0.201,0x20001d54,2,1,3735928559
102,0x0801bf70,vTaskPrioritySet_dup,0.877,0x2000bc4e,64,0,3735928559
103,0x08012a9e,crc32buf_ret_dup,0.612,0x20000d0c,16,1,3735928559
104,0x0800d10a,prvCheckTasksWaitingTermination_dup,0.914,0x2000d951,128,0,3735928559
105,0x080067c4,xTaskResumeAll_ret_dup,0.887,0x200035b2,128,0,3735928559
106,0x08013d3c,vQueueUnregisterQueue_dup,0.182,0x20008434,8,0,3735928559
107,0x080047bc,vListInsert_dup,0.409,0x2000a735,128,0,3735928559
108,0x080030b6,prvIdleTask,0.803,0x200067ee,1,0,3735928559
109,0x08012b2c,crc32buf_ret_dup,0.612,0x20006686,32,0,3735928559
110,0x080030be,prvIdleTask,0.952,0x200075d8,32,0,3735928559
111,0x0800d09e,prvCheckTasksWaitingTermination_dup,0.757,0x200081c0,8,1,3735928559
